"UTC","LocalTime","Machine","User","PID","Basename","ActionId","Action","Info","Path","CommandLine"
"133483381414893697","12-29-2023 16:42:21","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381425120739","12-29-2023 16:42:22","DESKTOP-RP0TC7B","ibtisam","10460","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381425140625","12-29-2023 16:42:22","DESKTOP-RP0TC7B","ibtisam","10460","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381435312661","12-29-2023 16:42:23","DESKTOP-RP0TC7B","ibtisam","10460","chrome.exe","33","(0x21) ProBalance ended due to termination.","This process terminated while its priority was lowered or CPU affinity changed in accordance with ProBalance parameters","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381435312661","12-29-2023 16:42:23","DESKTOP-RP0TC7B","ibtisam","10460","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381506280938","12-29-2023 16:42:30","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381506280938","12-29-2023 16:42:30","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381566684808","12-29-2023 16:42:36","DESKTOP-RP0TC7B","ibtisam","5308","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381566684808","12-29-2023 16:42:36","DESKTOP-RP0TC7B","ibtisam","5308","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381587087498","12-29-2023 16:42:38","DESKTOP-RP0TC7B","ibtisam","5308","chrome.exe","34","(0x22) ProBalance ended because process is now in foreground.","The process was brought to the foreground and foreground processes are excluded from ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381587087498","12-29-2023 16:42:38","DESKTOP-RP0TC7B","ibtisam","5308","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381587087498","12-29-2023 16:42:38","DESKTOP-RP0TC7B","ibtisam","5308","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381963795509","12-29-2023 16:43:16","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381963810835","12-29-2023 16:43:16","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382015038038","12-29-2023 16:43:21","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382015038038","12-29-2023 16:43:21","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382198316302","12-29-2023 16:43:39","DESKTOP-RP0TC7B","ibtisam","3816","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382198332060","12-29-2023 16:43:39","DESKTOP-RP0TC7B","ibtisam","3816","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382248829997","12-29-2023 16:43:44","DESKTOP-RP0TC7B","ibtisam","3816","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
